"A","B","C","D","E","F","G","H","I"
27,18,7,13,48,16,86,85,63
18,9,72,44,63,69,35,50,53
1,19,24,24,48,30,46,27,84
11,8,50,50,16,38,47,34,47
15,18,12,20,29,77,11,103,62
0,24,16,58,25,69,28,54,54
2,5,36,17,3,42,66,59,92
0,54,7,7,71,33,45,71,53
5,2,34,22,31,30,65,71,37
4,22,40,21,101,7,150,57,57
2,2,29,44,27,60,18,53,27
0,17,52,49,56,68,178,25,60
0,51,44,12,60,42,22,45,51
0,16,13,17,50,39,66,28,85
54,30,3,48,71,63,18,89,30
17,35,25,68,28,28,41,79,65
14,50,38,28,63,26,34,84,24
10,42,7,27,83,64,80,71,130
3,21,18,77,8,27,77,110,82
14,1,16,16,40,41,43,39,81
16,14,1,60,9,21,29,100,36
25,44,36,57,34,32,87,20,30
0,45,19,20,52,56,96,22,83
23,10,86,24,67,18,14,69,93
15,16,23,75,67,76,75,62,64
3,37,24,52,33,16,31,44,54
0,9,26,36,23,56,78,61,105
0,25,8,51,5,88,16,55,60
12,12,11,4,40,23,73,44,47
5,4,30,31,14,96,85,49,45
15,5,3,7,42,60,10,59,78
14,15,12,67,24,28,94,50,52
2,13,21,21,65,73,58,45,82
24,32,10,47,37,57,80,39,119
0,57,39,8,25,90,19,109,114
17,45,2,53,23,21,26,26,91
16,64,21,22,38,43,77,38,35
0,17,3,5,20,21,28,96,50
29,41,29,30,18,70,24,26,133
4,38,34,3,32,37,33,76,139
3,36,17,19,17,62,57,60,47
0,29,43,21,57,81,26,186,39
2,29,23,29,44,36,30,29,38
4,26,10,34,44,27,71,74,129
0,40,18,9,37,60,92,86,100
0,20,50,34,40,36,77,56,95
21,40,37,42,68,67,81,113,39
19,24,3,14,27,16,28,44,47
10,24,11,45,36,69,65,63,74
7,7,16,15,14,4,66,42,5
15,24,70,11,105,42,71,106,13
14,38,4,45,49,114,33,58,83
0,28,17,48,43,15,93,100,29
9,16,31,44,50,57,83,45,113
0,1,19,58,47,21,43,42,67
5,6,29,100,112,35,49,61,77
18,18,18,34,62,74,8,47,72
0,3,3,29,63,127,55,65,34
