"A","B","C","D","E","F","G","H","I"
0,10,16,3,5,11,8,29,24
6,12,15,22,27,15,20,25,11
0,0,18,5,7,15,11,28,26
9,3,2,14,20,18,6,13,27
9,12,9,0,14,0,18,11,15
1,12,8,4,15,15,16,23,25
2,6,3,25,9,17,16,7,25
4,10,3,17,9,13,32,38,17
0,3,3,20,11,23,10,21,32
0,1,2,15,12,22,28,30,6
2,7,4,0,11,35,8,22,37
7,9,14,11,17,9,31,14,20
4,12,3,18,16,17,15,24,20
3,10,3,8,2,8,11,20,16
0,7,5,23,11,4,11,4,11
6,32,15,10,5,19,8,8,17
5,14,5,10,15,21,14,8,14
4,9,3,14,5,12,27,9,19
0,11,0,12,8,12,6,31,28
0,13,3,7,16,7,7,30,31
4,17,18,12,15,14,17,13,16
0,7,5,19,20,10,17,20,43
4,5,6,6,15,8,6,17,35
6,15,5,13,2,6,7,27,16
2,5,5,19,10,5,39,16,24
0,29,2,4,5,8,7,31,17
6,5,11,3,9,16,32,17,15
0,4,4,17,13,16,11,16,18
7,8,8,18,22,22,0,18,30
26,1,19,19,12,20,22,18,21
0,7,6,10,22,9,12,11,15
0,17,5,10,2,13,12,21,20
0,3,3,13,26,1,10,36,16
11,15,8,5,16,9,10,23,36
0,9,4,15,25,15,14,22,7
2,1,4,19,48,3,18,20,16
2,11,9,6,10,4,29,21,19
6,4,1,17,18,10,19,27,20
2,3,2,5,5,26,9,21,10
1,8,7,13,20,11,14,27,39
20,7,7,6,15,6,8,10,16
5,0,2,8,9,9,13,27,12
9,6,12,1,11,11,11,34,14
1,12,6,10,6,16,31,22,9
5,1,0,1,23,15,9,39,12
0,18,10,8,27,16,14,30,33
5,9,19,15,8,6,6,8,15
0,12,13,8,29,8,20,26,24
1,5,6,2,18,40,12,15,12
4,4,5,21,12,3,16,1,18
0,11,2,3,9,16,23,9,27
0,5,21,17,4,4,15,19,21
13,10,9,17,8,15,10,4,28
12,5,13,8,8,13,5,23,17
2,0,3,13,20,14,27,19,22
0,5,19,8,6,13,21,9,30
1,17,3,7,14,10,18,32,15
4,3,7,7,8,22,11,14,10
0,7,17,18,28,13,8,10,13
0,5,10,11,16,2,6,20,22
4,12,7,14,7,11,17,13,29
0,8,2,1,16,29,24,11,16
4,1,15,15,7,13,27,26,18
2,6,0,21,4,7,6,30,10
6,9,2,16,13,20,8,19,14
6,7,4,15,9,1,22,15,35
10,15,10,14,3,14,10,39,25
9,7,7,2,17,19,21,20,23
1,11,7,2,6,29,30,20,14
0,3,5,14,10,19,11,9,23
3,0,2,17,25,19,10,50,12
1,7,5,13,18,14,14,28,12
3,4,10,11,10,7,15,8,11
0,11,16,2,4,32,10,5,33
4,5,7,8,14,5,8,15,33
1,9,12,7,27,2,8,28,33
0,0,11,18,12,27,10,21,3
3,5,5,13,11,11,6,20,23
1,8,6,8,9,10,23,14,15
0,2,9,20,4,29,14,15,31
1,5,8,8,13,3,11,13,24
4,4,4,13,27,11,11,23,32
3,19,9,2,1,18,13,15,19
2,4,11,13,14,20,13,16,23
1,8,9,14,9,27,12,17,18
1,4,5,33,22,8,10,7,25
7,1,1,10,12,20,23,32,43
0,6,0,21,10,4,15,12,35
8,1,8,6,2,10,18,5,14
3,11,14,11,6,22,27,11,26
0,15,17,7,6,5,27,37,25
0,2,13,11,12,22,8,31,20
0,17,22,7,6,24,30,15,25
1,0,8,19,9,3,19,25,26
5,4,8,7,10,8,13,23,26
0,11,0,17,21,12,6,8,10
3,11,7,10,17,5,29,7,8
3,5,7,14,12,17,19,35,31
0,5,4,17,11,11,9,17,42
